"","state","county","GEO_ID","S2201_C01_021E","S2201_C01_021EA","S2201_C03_001E","S2201_C03_001EA","S2201_C01_001E","S2201_C01_001EA","year"
"1","48","075","0500000US48075",466,NA,325,NA,2391,NA,2015
"2","48","091","0500000US48091",3993,NA,2668,NA,43951,NA,2015
"3","48","225","0500000US48225",1911,NA,1534,NA,8046,NA,2015
"4","48","349","0500000US48349",3134,NA,3556,NA,17477,NA,2015
"5","48","415","0500000US48415",509,NA,634,NA,5832,NA,2015
"6","48","433","0500000US48433",113,NA,63,NA,580,NA,2015
"7","48","021","0500000US48021",3065,NA,2986,NA,25454,NA,2015
"8","48","025","0500000US48025",1802,NA,1393,NA,8762,NA,2015
"9","48","103","0500000US48103",210,NA,120,NA,1542,NA,2015
"10","48","455","0500000US48455",921,NA,528,NA,5325,NA,2015
"11","48","019","0500000US48019",1134,NA,787,NA,8292,NA,2015
"12","48","355","0500000US48355",21571,NA,22176,NA,126900,NA,2015
"13","48","379","0500000US48379",511,NA,451,NA,4201,NA,2015
"14","48","385","0500000US48385",166,NA,119,NA,1224,NA,2015
"15","48","431","0500000US48431",52,NA,20,NA,451,NA,2015
"16","48","065","0500000US48065",151,NA,117,NA,2293,NA,2015
"17","48","161","0500000US48161",1038,NA,1121,NA,7406,NA,2015
"18","48","197","0500000US48197",276,NA,177,NA,1634,NA,2015
"19","48","045","0500000US48045",105,NA,89,NA,675,NA,2015
"20","48","291","0500000US48291",4250,NA,4214,NA,25319,NA,2015
"21","48","301","0500000US48301",12,NA,7,NA,45,NA,2015
"22","48","395","0500000US48395",1128,NA,1213,NA,6065,NA,2015
"23","48","401","0500000US48401",2912,NA,2069,NA,17753,NA,2015
"24","48","407","0500000US48407",1715,NA,1906,NA,9476,NA,2015
"25","48","459","0500000US48459",1906,NA,1979,NA,13844,NA,2015
"26","48","473","0500000US48473",2383,NA,2255,NA,13937,NA,2015
"27","48","493","0500000US48493",1603,NA,1508,NA,15477,NA,2015
"28","48","219","0500000US48219",1215,NA,1133,NA,8089,NA,2015
"29","48","329","0500000US48329",4614,NA,3935,NA,52870,NA,2015
"30","48","299","0500000US48299",1146,NA,697,NA,8654,NA,2015
"31","48","147","0500000US48147",1976,NA,1625,NA,11974,NA,2015
"32","48","041","0500000US48041",20177,NA,7073,NA,73858,NA,2015
"33","48","165","0500000US48165",679,NA,491,NA,5615,NA,2015
"34","48","179","0500000US48179",989,NA,806,NA,8250,NA,2015
"35","48","237","0500000US48237",404,NA,307,NA,3031,NA,2015
"36","48","035","0500000US48035",977,NA,804,NA,6999,NA,2015
"37","48","029","0500000US48029",99880,NA,92205,NA,618831,NA,2015
"38","48","023","0500000US48023",276,NA,247,NA,1723,NA,2015
"39","48","121","0500000US48121",21738,NA,15250,NA,257275,NA,2015
"40","48","167","0500000US48167",15159,NA,12719,NA,113866,NA,2015
"41","48","393","0500000US48393",7,NA,15,NA,350,NA,2015
"42","48","463","0500000US48463",1602,NA,1467,NA,8435,NA,2015
"43","48","037","0500000US48037",6299,NA,5572,NA,33423,NA,2015
"44","48","263","0500000US48263",26,NA,29,NA,372,NA,2015
"45","48","425","0500000US48425",536,NA,348,NA,3386,NA,2015
"46","48","199","0500000US48199",2644,NA,2452,NA,20799,NA,2015
"47","48","289","0500000US48289",790,NA,565,NA,6142,NA,2015
"48","48","351","0500000US48351",612,NA,690,NA,4825,NA,2015
"49","48","389","0500000US48389",679,NA,602,NA,3716,NA,2015
"50","48","453","0500000US48453",59276,NA,41241,NA,428220,NA,2015
"51","48","087","0500000US48087",212,NA,115,NA,1109,NA,2015
"52","48","143","0500000US48143",3713,NA,1589,NA,14572,NA,2015
"53","48","345","0500000US48345",67,NA,44,NA,445,NA,2015
"54","48","083","0500000US48083",706,NA,525,NA,3405,NA,2015
"55","48","325","0500000US48325",2174,NA,2312,NA,14975,NA,2015
"56","48","213","0500000US48213",5038,NA,4459,NA,29780,NA,2015
"57","48","277","0500000US48277",3641,NA,3586,NA,19026,NA,2015
"58","48","267","0500000US48267",418,NA,245,NA,1990,NA,2015
"59","48","477","0500000US48477",1543,NA,1170,NA,11952,NA,2015
"60","48","429","0500000US48429",640,NA,518,NA,3447,NA,2015
"61","48","003","0500000US48003",568,NA,512,NA,5476,NA,2015
"62","48","177","0500000US48177",1269,NA,1071,NA,6477,NA,2015
"63","48","305","0500000US48305",384,NA,409,NA,2188,NA,2015
"64","48","505","0500000US48505",1477,NA,1506,NA,4517,NA,2015
"65","48","221","0500000US48221",2094,NA,1883,NA,20932,NA,2015
"66","48","269","0500000US48269",8,NA,0,NA,113,NA,2015
"67","48","073","0500000US48073",3745,NA,3133,NA,17729,NA,2015
"68","48","119","0500000US48119",425,NA,325,NA,1928,NA,2015
"69","48","253","0500000US48253",947,NA,551,NA,5489,NA,2015
"70","48","249","0500000US48249",3078,NA,2349,NA,13829,NA,2015
"71","48","111","0500000US48111",325,NA,246,NA,2256,NA,2015
"72","48","157","0500000US48157",15058,NA,15323,NA,206188,NA,2015
"73","48","235","0500000US48235",82,NA,34,NA,658,NA,2015
"74","48","489","0500000US48489",2162,NA,1789,NA,5553,NA,2015
"75","48","115","0500000US48115",779,NA,746,NA,4232,NA,2015
"76","48","397","0500000US48397",1714,NA,1641,NA,28457,NA,2015
"77","48","441","0500000US48441",8001,NA,6263,NA,49476,NA,2015
"78","48","447","0500000US48447",88,NA,44,NA,701,NA,2015
"79","48","471","0500000US48471",5000,NA,1834,NA,20685,NA,2015
"80","48","499","0500000US48499",2137,NA,1647,NA,16064,NA,2015
"81","48","007","0500000US48007",1473,NA,1268,NA,9682,NA,2015
"82","48","079","0500000US48079",214,NA,170,NA,1030,NA,2015
"83","48","081","0500000US48081",224,NA,112,NA,1601,NA,2015
"84","48","099","0500000US48099",2816,NA,2378,NA,21829,NA,2015
"85","48","211","0500000US48211",165,NA,120,NA,1466,NA,2015
"86","48","341","0500000US48341",1101,NA,946,NA,6893,NA,2015
"87","48","375","0500000US48375",8812,NA,7750,NA,43227,NA,2015
"88","48","405","0500000US48405",734,NA,534,NA,2882,NA,2015
"89","48","417","0500000US48417",279,NA,164,NA,1377,NA,2015
"90","48","427","0500000US48427",6157,NA,7035,NA,16145,NA,2015
"91","48","461","0500000US48461",215,NA,119,NA,1217,NA,2015
"92","48","049","0500000US48049",2251,NA,1981,NA,13295,NA,2015
"93","48","191","0500000US48191",272,NA,205,NA,1155,NA,2015
"94","48","159","0500000US48159",673,NA,699,NA,4259,NA,2015
"95","48","163","0500000US48163",1004,NA,1162,NA,4794,NA,2015
"96","48","281","0500000US48281",1064,NA,879,NA,7505,NA,2015
"97","48","321","0500000US48321",2871,NA,2386,NA,13382,NA,2015
"98","48","371","0500000US48371",649,NA,444,NA,4339,NA,2015
"99","48","373","0500000US48373",2800,NA,3137,NA,17480,NA,2015
"100","48","391","0500000US48391",504,NA,410,NA,2753,NA,2015
"101","48","467","0500000US48467",2992,NA,2368,NA,18613,NA,2015
"102","48","055","0500000US48055",1869,NA,2200,NA,12451,NA,2015
"103","48","487","0500000US48487",860,NA,912,NA,5212,NA,2015
"104","48","317","0500000US48317",210,NA,71,NA,1630,NA,2015
"105","48","383","0500000US48383",174,NA,47,NA,1217,NA,2015
"106","48","501","0500000US48501",400,NA,173,NA,2727,NA,2015
"107","48","189","0500000US48189",2260,NA,2186,NA,11513,NA,2015
"108","48","419","0500000US48419",1861,NA,1545,NA,9396,NA,2015
"109","48","387","0500000US48387",1057,NA,817,NA,5196,NA,2015
"110","48","399","0500000US48399",659,NA,450,NA,3703,NA,2015
"111","48","435","0500000US48435",137,NA,139,NA,1480,NA,2015
"112","48","451","0500000US48451",6113,NA,5095,NA,42825,NA,2015
"113","48","469","0500000US48469",4622,NA,3930,NA,32510,NA,2015
"114","48","481","0500000US48481",2411,NA,2091,NA,14741,NA,2015
"115","48","485","0500000US48485",8001,NA,6267,NA,47941,NA,2015
"116","48","033","0500000US48033",8,NA,3,NA,262,NA,2015
"117","48","315","0500000US48315",1014,NA,849,NA,4463,NA,2015
"118","48","323","0500000US48323",4433,NA,5218,NA,16030,NA,2015
"119","48","181","0500000US48181",7412,NA,6895,NA,47215,NA,2015
"120","48","297","0500000US48297",446,NA,161,NA,3699,NA,2015
"121","48","363","0500000US48363",2023,NA,1543,NA,10562,NA,2015
"122","48","255","0500000US48255",1003,NA,934,NA,4309,NA,2015
"123","48","123","0500000US48123",1232,NA,966,NA,7061,NA,2015
"124","48","059","0500000US48059",1075,NA,458,NA,5273,NA,2015
"125","48","067","0500000US48067",2190,NA,1985,NA,11691,NA,2015
"126","48","183","0500000US48183",7463,NA,6617,NA,45618,NA,2015
"127","48","313","0500000US48313",760,NA,680,NA,4121,NA,2015
"128","48","303","0500000US48303",19568,NA,14032,NA,107540,NA,2015
"129","48","257","0500000US48257",4640,NA,4135,NA,35418,NA,2015
"130","48","259","0500000US48259",1048,NA,860,NA,13552,NA,2015
"131","48","153","0500000US48153",456,NA,533,NA,2413,NA,2015
"132","48","017","0500000US48017",376,NA,394,NA,2392,NA,2015
"133","48","071","0500000US48071",1499,NA,823,NA,13018,NA,2015
"134","48","027","0500000US48027",15989,NA,14145,NA,109844,NA,2015
"135","48","061","0500000US48061",37292,NA,34429,NA,121097,NA,2015
"136","48","117","0500000US48117",1179,NA,991,NA,6194,NA,2015
"137","48","141","0500000US48141",56036,NA,61123,NA,259612,NA,2015
"138","48","283","0500000US48283",328,NA,415,NA,1971,NA,2015
"139","48","443","0500000US48443",107,NA,5,NA,466,NA,2015
"140","48","457","0500000US48457",1464,NA,1521,NA,7968,NA,2015
"141","48","483","0500000US48483",288,NA,213,NA,2293,NA,2015
"142","48","009","0500000US48009",301,NA,235,NA,3350,NA,2015
"143","48","043","0500000US48043",520,NA,443,NA,4025,NA,2015
"144","48","215","0500000US48215",69943,NA,71890,NA,224021,NA,2015
"145","48","423","0500000US48423",12116,NA,9243,NA,78778,NA,2015
"146","48","227","0500000US48227",1778,NA,1441,NA,11206,NA,2015
"147","48","333","0500000US48333",299,NA,108,NA,1848,NA,2015
"148","48","337","0500000US48337",1124,NA,815,NA,8024,NA,2015
"149","48","365","0500000US48365",1307,NA,1169,NA,8923,NA,2015
