"","disasterNumber","programTypeCode","programTypeDescription","stateCode","stateName","placeCode","placeName","designatedDate","entryDate","updateDate","closeoutDate","hash","id","lastRefresh"
"1",4223,"HA","HA - Housing Assistance","TX","Texas",99021,"Bastrop (County)",2015-06-05,2015-06-06,2015-06-06,NA,"869a2077e1f2a24b4505c1b9c8a7a763a8bfee13","9e3a2ff3-4e87-48a3-8213-1b34fbf8be6e",2022-07-20 21:25:33
"2",4223,"HA","HA - Housing Assistance","TX","Texas",99037,"Bowie (County)",2015-07-01,2015-07-01,2015-07-01,NA,"b99635b8c3aee28845d46c759a73920564dc869e","288b90c2-e05b-4a40-8439-306c44a768af",2022-07-20 21:25:33
"3",4223,"HA","HA - Housing Assistance","TX","Texas",99097,"Cooke (County)",2015-06-16,2015-06-16,2015-06-16,NA,"1d8bb3a849793609692511e2c8681588a6f17a6d","f300131a-a41a-4bbc-b777-ae445de22a33",2022-07-20 21:25:33
"4",4223,"HA","HA - Housing Assistance","TX","Texas",99181,"Grayson (County)",2015-06-16,2015-06-16,2015-06-16,NA,"94a2baaf02e2aecd43589fba5e0decd5f497775e","4e781d78-0e33-40ee-bc7c-0b69082f8ecc",2022-07-20 21:25:33
"5",4223,"HA","HA - Housing Assistance","TX","Texas",99331,"Milam (County)",2015-06-05,2015-06-06,2015-06-06,NA,"c28f33e1b1a00ea8e9ac4d898db61419c776a8e1","eed8f0a5-95ac-4d3c-a505-7e0e10d76831",2022-07-20 21:25:33
"6",4223,"HA","HA - Housing Assistance","TX","Texas",99349,"Navarro (County)",2015-06-05,2015-06-06,2015-06-06,NA,"296b052d68f6aa7d32aaf83cf0f3c4a706184c77","2f418a9e-41ec-44d5-8f46-bd51e11463d4",2022-07-20 21:25:33
"7",4223,"HA","HA - Housing Assistance","TX","Texas",99121,"Denton (County)",2015-06-05,2015-06-06,2015-06-06,NA,"85b6841c6537e1868ff7b1efe5012af22355c37a","b03fe146-2ca9-4c7c-9522-445756da81b1",2022-07-20 21:25:33
"8",4223,"HA","HA - Housing Assistance","TX","Texas",99201,"Harris (County)",2015-05-29,2015-05-30,2015-05-30,NA,"802981db3c8ca7f94418ca95c0a899280e8a050a","d9a6289a-c9b5-468d-81d6-d2a70b523e01",2022-07-20 21:25:33
"9",4223,"HA","HA - Housing Assistance","TX","Texas",99401,"Rusk (County)",2015-06-05,2015-06-06,2015-06-06,NA,"f249a94b1d547e369851dc77d77c3bf820cd9acf","82b61436-a28a-469d-b747-7fb0778c3bd4",2022-07-20 21:25:33
"10",4223,"HA","HA - Housing Assistance","TX","Texas",99453,"Travis (County)",2015-06-05,2015-06-06,2015-06-06,NA,"6c1a3243ecf5d693d4f1a0b18f8cb937b31b1681","330e4a0e-1e54-4ff4-8c4a-2c8975c4515c",2022-07-20 21:25:33
"11",4223,"HA","HA - Housing Assistance","TX","Texas",99497,"Wise (County)",2015-06-05,2015-06-06,2015-06-06,NA,"277981cf4bc5fa05fd2fe0af696bb36bd40bdc09","6aa332f7-862b-479c-a182-13033ed9c68d",2022-07-20 21:25:33
"12",4223,"HA","HA - Housing Assistance","TX","Texas",99031,"Blanco (County)",2015-06-05,2015-06-06,2015-06-06,NA,"29b448362f13431d641975b0925e6bb366dd5dd7","17c39a4f-dbad-4c1e-a87e-88047c039095",2022-07-20 21:25:33
"13",4223,"HA","HA - Housing Assistance","TX","Texas",99139,"Ellis (County)",2015-07-01,2015-07-01,2015-07-01,NA,"24fe5e261a466f884847deecf81b278fded2040b","dec79573-fa2f-4c30-b07c-56c58fb4c329",2022-07-20 21:25:33
"14",4223,"HA","HA - Housing Assistance","TX","Texas",99143,"Erath (County)",2015-07-09,2015-07-09,2015-07-09,NA,"a1fdda854fc80e43da1a6eab49e1a0d586a6ab05","831504dd-ef0c-4603-be72-a702e43f06eb",2022-07-20 21:25:33
